"full_name","a","e","i","om","w","q","ad","per_y","data_arc","n_obs_used","H","diameter","albedo","rot_per","BV","UB","IR","moid"
"     1 Ceres","2.76916515450648",".07600902910070946","10.59406704424526","80.30553156826473","73.597694115971","2.558683599692926","2.979646709320033","4.60820180153985","8822","1002","3.34","939.4","0.090","9.074170",".713",".426","","1.59478"
"     2 Pallas","2.772465921978979",".2303368211958249","34.8362344173523","173.0800627473217","310.0488574270735","2.133864934636589","3.41106690932137","4.61644352793619","72318","8490","4.13","545","0.101","7.8132",".635",".284","","1.23324"
"     3 Juno","2.669149516961171",".2569423201751032","12.98891912630602","169.8527598113392","248.1386261811234","1.983332047178912","3.354966986743431","4.36081392268951","72684","7104","5.33","246.596","0.214","7.210",".824",".433","","1.03454"
"     4 Vesta","2.361417895877277",".08872145950956178","7.141770811873426","103.810804427096","150.7285412870121","2.151909453643047","2.570926338111508","3.62883713822373","24288","9325","3.20","525.4","0.4228","5.34212766",".782",".492","","1.13948"
"     5 Astraea","2.574248919201488",".1910945189312088","5.366987944360959","141.5766042141307","358.6876077891718","2.082324060377496","3.066173778025481","4.13032295382172","63431","2861","6.85","106.699","0.274","16.806",".826",".411","","1.09589"
"     6 Hebe","2.425159989654524",".2030071093939073","14.73790110045524","138.6402027591858","239.8074902310437","1.932835270337001","2.917484708972046","3.77675483787179","62329","6034","5.71","185.18","0.2679","7.2745",".822",".399","",".973965"
"     7 Iris","2.385333813853889",".231205791651457","5.523651386735914","259.5632306889722","145.2651058349183","1.833830821068811","2.936836806638967","3.68410457424173","62452","5206","5.51","199.83","0.2766","7.139",".855",".484","",".8461"
"     8 Flora","2.20176418937401",".1564992508158695","5.88695455961114","110.8893298901322","285.2874622174554","1.857189743263767","2.546338635484252","3.26711489815842","62655","2744","6.49","147.491","0.226","12.865",".885",".489","",".874176"
"     9 Metis","2.385636535575458",".1231142722068342","5.576815510839905","68.9085766994347","6.417369231417859","2.091930629748052","2.679342441402864","3.68480591875975","61821","2649","6.28","190","0.118","5.079",".858",".496","","1.10691"
"    10 Hygiea","3.14153917911499",".1124606576702566","3.831560034123068","283.2021668627339","312.3152062465516","2.78823961693484","3.49483874129514","5.56829098991105","62175","3409","5.43","407.12","0.0717","27.630",".696",".351","","1.77839"
"    11 Parthenope","2.453109376165724",".1004722717813071","4.629885837761471","125.5465867729847","195.5503937824099","2.206639904214328","2.699578848117119","3.84223187780065","61699","5475","6.55","142.887","0.191","13.7204",".837",".417","","1.19322"
"    12 Victoria","2.334315086443524",".2201715811331393","8.373074237387534","235.410168307321","69.64182011278218","1.820365242998313","2.848264929888735","3.56654261464241","61581","3051","7.24","115.087","0.163","8.6599",".874",".515","",".824953"
"    13 Egeria","2.575981091157315",".08512141533046512","16.5361229486575","43.22191706153441","80.54483096060058","2.356709934813488","2.795252247501142","4.13449249989407","61531","2359","6.74","222.792","0.070","7.045",".745",".452","","1.43633"
"    14 Irene","2.585567305207669",".1665823104724761","9.121643598892886","86.12266132527178","97.85899132751493","2.154857529624082","3.016277080791256","4.15759300760529","61450","2688","6.30","152","0.159","15.028",".833",".388","","1.17966"
